task_id,model,model_full,condition,run_id,passed,cc,mi,loc,cognitive,tokens_in,tokens_out,latency_s,cost_usd
HumanEval/61,claude,claude-sonnet-5,baseline,1,True,5,88.26299387793046,22,6,180,225,5.038,0.00261
HumanEval/61,claude,claude-sonnet-5,baseline,2,True,5,88.26299387793046,22,6,180,220,2.782,0.00256
HumanEval/61,claude,claude-sonnet-5,baseline,3,True,5,88.26299387793046,22,6,180,220,2.749,0.00256
HumanEval/61,claude,claude-sonnet-5,minimal,1,True,4,89.09435456102953,22,6,262,206,3.303,0.002584
HumanEval/61,claude,claude-sonnet-5,minimal,2,True,4,89.09435456102953,22,6,262,206,2.794,0.002584
HumanEval/61,claude,claude-sonnet-5,minimal,3,True,4,89.09435456102953,22,6,262,206,3.228,0.002584
HumanEval/61,gpt4o,gpt-4o,baseline,1,True,5,88.26299387793046,22,6,119,143,3.965,0.001728
HumanEval/61,gpt4o,gpt-4o,baseline,2,True,5,88.26299387793046,22,6,119,143,2.514,0.001728
HumanEval/61,gpt4o,gpt-4o,baseline,3,True,5,88.26299387793046,22,6,119,143,2.321,0.001728
HumanEval/61,gpt4o,gpt-4o,minimal,1,True,5,65.07330552638736,10,6,168,68,2.664,0.0011
HumanEval/61,gpt4o,gpt-4o,minimal,2,True,5,65.07330552638736,10,6,168,68,2.73,0.0011
HumanEval/61,gpt4o,gpt-4o,minimal,3,True,5,65.07330552638736,10,6,168,68,2.627,0.0011
HumanEval/104,claude,claude-sonnet-5,baseline,1,True,4,65.34348822125298,14,0,181,185,3.194,0.002212
HumanEval/104,claude,claude-sonnet-5,baseline,2,True,4,65.34348822125298,14,0,181,185,2.81,0.002212
HumanEval/104,claude,claude-sonnet-5,baseline,3,True,4,65.34348822125298,14,0,181,185,2.737,0.002212
HumanEval/104,claude,claude-sonnet-5,minimal,1,True,4,89.29261350449788,17,3,263,197,2.945,0.002496
HumanEval/104,claude,claude-sonnet-5,minimal,2,True,4,65.34348822125298,14,0,263,185,6.19,0.002376
HumanEval/104,claude,claude-sonnet-5,minimal,3,True,4,89.29261350449788,17,3,263,197,2.534,0.002496
HumanEval/104,gpt4o,gpt-4o,baseline,1,True,3,89.9610889054979,20,8,129,159,4.052,0.001912
HumanEval/104,gpt4o,gpt-4o,baseline,2,True,3,75.66353611358358,16,0,129,142,2.54,0.001743
HumanEval/104,gpt4o,gpt-4o,baseline,3,True,3,89.9610889054979,20,8,129,159,3.189,0.001912
HumanEval/104,gpt4o,gpt-4o,minimal,1,True,4,84.55869545488217,2,0,178,36,1.684,0.000805
